OBJECTID,codigo_ine,UGL_SG,NOMBRE,area_m2,SHAPE.STLength(),uso_suelo
196,18017,5.0,17-E,4138.69911854,299.95615721733617,Sistemas Generales. Equipamientos
197,18017,5.0,08-E,8073.22228162,426.9462392373437,Sistemas Generales. Equipamientos
198,18017,4.0,31-P,5100.523369165,578.9484673401554,Sistemas Generales. Espacios libres
199,18017,4.0,11-P,8813.45678052,505.3968175754421,Sistemas Generales. Espacios libres
200,18017,2.0,SUC-PDU-CITALSOL,31478.481452065,1227.0477292968808,Residencial
201,18017,5.0,11-A,6307.243723625,331.86986825486224,Sistemas Generales. Equipamientos
202,18017,5.0,07-D,568.885366335,98.39897476949277,Sistemas Generales. Equipamientos
203,18017,4.0,01-P,4835.829314915,314.00528411301764,Sistemas Generales. Espacios libres
204,18017,4.0,19-P,14983.370020575,627.7828155768605,Sistemas Generales. Espacios libres
205,18017,4.0,41-P,9704.77864527,664.5326453809604,Sistemas Generales. Espacios libres
206,18017,4.0,17-P,697.28927513,118.39394720298569,Sistemas Generales. Espacios libres
207,18017,4.0,09-P,7524.428783255,600.1412153345835,Sistemas Generales. Espacios libres
208,18017,5.0,15-A,4515.891847605,278.6937185450765,Sistemas Generales. Equipamientos
209,18017,4.0,19-P,1155.955056405,154.191780910281,Sistemas Generales. Espacios libres
210,18017,5.0,05-P,1950.834916305,186.99920193851784,Sistemas Generales. Equipamientos
211,18017,5.0,06-P,980.378659005,134.28702213329302,Sistemas Generales. Equipamientos
212,18017,5.0,07-E,5933.888922445,335.6026786795439,Sistemas Generales. Equipamientos
213,18017,2.0,SUC-PDU-CITALSOL,35065.48452241,1081.0657543198502,Residencial
214,18017,6.0,01-AP,2113.91908573,185.88921993060134,Sistemas Generales. Infraestructuras
215,18017,4.0,09-P,756.893486635,181.18352207176028,Sistemas Generales. Espacios libres
216,18017,6.0,02-G,97.96254714,49.94444254440578,Sistemas Generales. Infraestructuras
217,18017,5.0,03-D,30643.047918235,719.9572470293942,Sistemas Generales. Equipamientos
218,18017,5.0,08-A,390.659130935,94.13187749380509,Sistemas Generales. Equipamientos
219,18017,4.0,09-P,3658.825307975,335.6847956138089,Sistemas Generales. Espacios libres
220,18017,5.0,06-P,776.725868725,114.41475805768734,Sistemas Generales. Equipamientos
221,18017,5.0,10-A,10778.40848521,437.40960249052114,Sistemas Generales. Equipamientos
222,18017,5.0,03-A,1590.26778156,182.92505623587869,Sistemas Generales. Equipamientos
223,18017,4.0,32-P,235.134300485,75.7628930121581,Sistemas Generales. Espacios libres
224,18017,4.0,41-P,6726.71813875,410.03181383463,Sistemas Generales. Espacios libres
225,18017,5.0,06-A,321.376429465,76.46555166672378,Sistemas Generales. Equipamientos
226,18017,4.0,40-P,3397.23818902,283.852635970073,Sistemas Generales. Espacios libres
227,18017,2.0,SUC-PDU-P10 LAS PALOMAS,203024.42878872,2057.8753523705604,Residencial
228,18017,5.0,07-A,1679.158386385,160.8043030413279,Sistemas Generales. Equipamientos
229,18017,5.0,05-E,2354.41528806,194.1024639537637,Sistemas Generales. Equipamientos
230,18017,5.0,16-E,5381.755835055,318.18727681318524,Sistemas Generales. Equipamientos
231,18017,4.0,35-P,602.35286142,124.81172086501739,Sistemas Generales. Espacios libres
232,18017,4.0,32-P,813.26434199,185.73788037660813,Sistemas Generales. Espacios libres
233,18017,6.0,01-AP,2240.509752435,308.5979220262772,Sistemas Generales. Infraestructuras
234,18017,4.0,08-P,69190.186479135,3931.904972679569,Sistemas Generales. Espacios libres
235,18017,6.0,02-AP,1224.39532043,201.90699092453207,Sistemas Generales. Infraestructuras
236,18017,4.0,36-P,248.1294504,75.4869660401498,Sistemas Generales. Espacios libres
237,18017,4.0,44-P,158678.330544495,2514.0067521493256,Sistemas Generales. Espacios libres
238,18017,5.0,08-D,11936.079291315,811.3725062963191,Sistemas Generales. Equipamientos
239,18017,4.0,24-P,259.039151155,63.105704815588574,Sistemas Generales. Espacios libres
240,18017,5.0,04-AP,3122.9596408,654.0471752248541,Sistemas Generales. Equipamientos
241,18017,2.0,SUC-CA,434641.187886985,10540.609081370252,Residencial
242,18017,5.0,04-E,660.319092625,105.26289634490409,Sistemas Generales. Equipamientos
243,18017,2.0,SUC-PDU-LAS MARAVILLAS,56756.62706171,1197.5575648122378,Residencial
244,18017,4.0,31-P,2553.596941745,224.61039621161996,Sistemas Generales. Espacios libres
245,18017,5.0,01-SA,438.927755935,137.8531577408641,Sistemas Generales. Equipamientos
246,18017,4.0,13-P,1028.847940895,157.44801161321612,Sistemas Generales. Espacios libres
247,18017,5.0,02-E,1123.053189505,138.41744877065952,Sistemas Generales. Equipamientos
248,18017,4.0,26-P,393.14801849,82.25950564088178,Sistemas Generales. Espacios libres
249,18018,5.0,SSGG-EQ-03,532.6123025,92.8295516979262,Sistemas Generales. Equipamientos
250,18018,5.0,SSGG-EQ-02,342.06548103,74.25742477912418,Sistemas Generales. Equipamientos
251,18018,4.0,SSGG-EL-01,995.116415,133.07168148606533,Sistemas Generales. Espacios libres
252,18018,5.0,SSGG-EQ-05,4045.419456015,272.60044663156026,Sistemas Generales. Equipamientos
253,18018,4.0,SSGG-EL-02,1308.071201985,179.36421036610287,Sistemas Generales. Espacios libres
254,18018,5.0,SSGG-EQ-04,4275.87920995,261.1484377518103,Sistemas Generales. Equipamientos
255,18018,2.0,,11820.98892573,543.1908284998522,Residencial
256,18018,5.0,SSGG-EQ-07,677.97012035,147.59441198811143,Sistemas Generales. Equipamientos
257,18018,5.0,SSGG-EQ-01,2053.068211505,198.3702820938606,Sistemas Generales. Equipamientos
258,18018,2.0,,266595.801788045,7953.926743262807,Residencial
259,18020,2.0,,165960.05815871,2752.8698246214135,Residencial
260,18020,2.0,,115414.270774185,2886.5211690708684,Residencial
261,18077,2.0,,121467.22449909,2858.2005940054532,Residencial
262,18021,4.0,,2211.69330868,219.58772984174155,Sistemas Generales. Espacios libres
263,18021,4.0,,2004.102590595,445.3594095943715,Sistemas Generales. Espacios libres
264,18021,4.0,,271.041956985,68.19639828090864,Sistemas Generales. Espacios libres
265,18021,4.0,,463.893525895,84.51605536211257,Sistemas Generales. Espacios libres
266,18021,4.0,,4683.177790255,296.38939942519744,Sistemas Generales. Espacios libres
267,18021,4.0,,162.093155,91.92781005230252,Sistemas Generales. Espacios libres
268,18021,2.0,P.P.A.,118818.38114144,2362.4546188865243,Residencial
269,18021,4.0,,131.84520945,63.41888685956525,Sistemas Generales. Espacios libres
270,18021,4.0,,340.54985506,73.39479775853546,Sistemas Generales. Espacios libres
271,18021,4.0,,142.10251343,101.48698535570868,Sistemas Generales. Espacios libres
272,18021,5.0,,13161.899561235,634.693141610571,Sistemas Generales. Equipamientos
273,18021,5.0,,7236.80412348,368.31352113547274,Sistemas Generales. Equipamientos
274,18021,5.0,,90045.443239255,1448.8996425041669,Sistemas Generales. Equipamientos
275,18021,4.0,,12896.96094085,1191.553937218741,Sistemas Generales. Espacios libres
276,18021,3.0,P.P.B.,68124.057768805,1087.8732825658137,Terciario
277,18021,5.0,,632.24630058,117.95113046599785,Sistemas Generales. Equipamientos
278,18021,4.0,,1483.1453675,296.2124569133779,Sistemas Generales. Espacios libres
279,18021,4.0,,113.93756307,75.43852504265318,Sistemas Generales. Espacios libres
280,18021,1.0,P.P.H.,47057.63622269,1000.631024815197,Industrial
281,18021,3.0,P.P.CAMPUS DE LA SALUD,194992.686943455,2672.2320557722555,Terciario
282,18021,5.0,,2646.83316299,256.3376894691926,Sistemas Generales. Equipamientos
283,18021,5.0,,10933.048376285,436.0419174377574,Sistemas Generales. Equipamientos
284,18021,4.0,,442.874507105,95.46918019377989,Sistemas Generales. Espacios libres
285,18021,5.0,,12407.437631055,511.0041419885629,Sistemas Generales. Equipamientos
286,18021,4.0,,3428.52635485,307.3642356084011,Sistemas Generales. Espacios libres
287,18021,4.0,,223.87020049,135.40404385511184,Sistemas Generales. Espacios libres
288,18021,4.0,,4041.20562769,284.2456033571131,Sistemas Generales. Espacios libres
289,18021,1.0,U.E.10.,29937.747472895,1114.935983853865,Industrial
290,18021,4.0,,151.851797,78.52985332845383,Sistemas Generales. Espacios libres
291,18021,5.0,,33327.3284796,925.319137770836,Sistemas Generales. Equipamientos
292,18021,5.0,,537.91223435,96.05906002161257,Sistemas Generales. Equipamientos
