codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,precio_m2,fuente,anio,superficie_residencial_ha,cluster,suelo_por_habitante,score_poblacion,score_superficie,score_suelo_hab,coopscore_v1,oportunidad,log_poblacion,score_log_poblacion,coopscore_v2,PCA1,PCA2
18157,Pinos Genil,1642,311292.158194865,2,155646.0790974325,,,,31.129215819486497,1,189.5810951247655,0.024120417707303176,0.07784958981700366,0.1218578594259981,7.493331906679184,Baja,7.404279118037268,0.36717203702247025,20.458063610143892,-0.6083241749950296,0.09024317776313948
18187,Villanueva de las Torres,491,294168.155933855,1,294168.155933855,,,,29.416815593385497,1,599.1204805170163,0.004827435927521413,0.07316489347400719,0.40177826716733256,15.124766831805909,Baja,6.198478716492308,0.15494652433583345,18.803088924206904,-0.8817242329137547,-0.13933373738096433
18035,Cádiar,1491,289873.67392418004,4,72468.41848104501,,,,28.987367392418005,1,194.41560960709594,0.021589366231415212,0.0719900312041279,0.12516225288214683,7.282149821571977,Baja,7.307872780763706,0.3502041505232554,19.656873435128364,-0.30214045622872626,0.6813394783272986
18178,Torre-Cardela,700,284947.11599401,1,284947.11599401,,,,28.494711599401,1,407.06730856287146,0.008330679361035216,0.07064224885936742,0.27050981260848544,11.190904713460316,Baja,6.55250788703459,0.21725702127056112,17.92550487611244,-0.872161117616796,-0.14360083894311132
18020,Arenas del Rey,608,281374.328932895,2,140687.1644664475,,,,28.137432893289496,1,462.78672521857726,0.006788581773076987,0.06966482417649288,0.30859406624977054,12.248072407745141,Baja,6.411818267709897,0.19249510665134673,17.852924768475383,-0.7148045299647513,0.14908331204769645
18018,Alquife,543,278416.790713775,2,139208.3953568875,,,,27.8416790713775,1,512.7381044452578,0.00569905630332389,0.06885571610302976,0.34273586295873004,13.207276221982807,Baja,6.298949246855942,0.1726297244649766,17.883535616173358,-0.7223416368442412,0.15332000660065906
18189,Víznar,1006,270579.48029726,1,270579.48029726,,,,27.057948029726,1,268.9656861801789,0.013459830034026718,0.06671162508461323,0.17611727351220893,8.355778109771599,Baja,6.914730892718563,0.28100966473433875,17.97822530514024,-0.8588387129160001,-0.14941533347520042
18028,Benalúa de las Villas,1028,264554.90193260496,3,88184.96731086832,,,,26.455490193260495,1,257.3491263935846,0.013828592500712382,0.06506345196463781,0.1681773481521593,8.062716298171663,Baja,6.9363427358340495,0.28481343232258194,17.87419181546958,-0.5267025320621546,0.4266476374561821
18143,Nigüelas,1229,263121.14902596,1,263121.14902596,,,,26.312114902596,1,214.09369326766478,0.017197740491795035,0.06467121322884802,0.1386122344915072,7.261147778652988,Baja,7.114769448366463,0.3162172206242486,18.377487150267307,-0.846770468374264,-0.1551572132765066
18049,Cogollos de Guadix,614,260025.344087825,1,260025.344087825,,,,26.002534408782502,1,423.49404574564335,0.00688915335490035,0.06382427885852658,0.2817374970121654,11.211770665353034,Baja,6.421622267806518,0.19422064841117637,17.046113121799618,-0.8985892574797156,-0.12750203157409867
18051,Colomera,1278,253266.364389555,1,253266.364389555,,,,25.3266364389555,1,198.17399404503522,0.018019075076685834,0.06197519200416609,0.12773111082802915,6.851513257308092,Baja,7.153833801578843,0.3230926971771231,18.286117377931465,-0.8505541978809495,-0.15231521470644244
18107,Jayena,979,252049.10813568,1,252049.10813568,,,,25.204910813568,1,257.45567736024515,0.013007257915821586,0.06164218130759536,0.16825017579974755,7.903410263770888,Baja,6.887552571664617,0.2762261755994493,17.4127777647375,-0.8755219203369922,-0.13901362819939106
18034,Cacín,549,251633.08721880495,2,125816.54360940248,,,,25.163308721880494,1,458.3480641508287,0.005799627885147253,0.06152836844783347,0.3055602388323666,11.801930739438754,Baja,6.309918278226516,0.1745603162140863,16.77491151504679,-0.7428392116335572,0.16644308033184005
18902,"Valle, El",941,248523.96962834,1,248523.96962834,,,,24.852396962834,1,264.10623764967056,0.012370304564273623,0.06067779207065318,0.17279583761965103,7.982095948343868,Baja,6.848005274576363,0.2692656990652138,17.21424662557269,-0.8813351127665155,-0.13563967596493504
18072,Escúzar,826,245145.64353299,1,245145.64353299,,,,24.514564353299,1,296.78649338134386,0.010442682579325836,0.05975356701723963,0.19513281139016977,8.557407499774454,Baja,6.717804695023691,0.24634989582592226,16.823690963394522,-0.8932175812355423,-0.12907013319432653
18903,Nevada,1086,242871.147840105,4,60717.78696002625,,,,24.287114784010498,1,223.63825767965469,0.014800784458338222,0.05913132220015729,0.14513594980977557,7.163354916049706,Baja,6.99117688712121,0.2944644540461969,17.47657318409777,-0.37148483855250186,0.7220097413391079
18137,Montillana,1054,242424.172246695,2,121212.0861233475,,,,24.2424172246695,1,230.00395848832542,0.014264402688613623,0.059009040919418144,0.149486910009161,7.272901017709963,Baja,6.961296045910167,0.28920531095966595,17.3707016207953,-0.7094932895277816,0.14960368591909354
18154,"Peza, La",1104,239774.9402367,2,119887.47011835,,,,23.97749402367,1,217.1874458665761,0.015102499203808312,0.05828427767074517,0.14072681618945213,7.00625056862762,Baja,7.007600613951853,0.2973550931954232,17.452323851029313,-0.7075526505875015,0.1488042363933695
18069,Dólar,600,231185.95518309,1,231185.95518309,,,,23.118595518309,1,385.30992530515,0.006654486330645837,0.05593454737654204,0.25563862851699043,10.10617534049077,Baja,6.398594934535208,0.190167749106243,15.955384835353453,-0.9223033393188398,-0.11250312398253508
18064,Dehesas de Guadix,382,230921.627257985,2,115460.8136289925,,,,23.0921627257985,1,604.5068776387042,0.0030003855243969898,0.05586223390418806,0.4054598727279687,14.488297103738493,Baja,5.948034989180646,0.11086746418643445,16.52637357230318,-0.7724749809603103,0.18387767514339579
18076,Fonelas,965,220072.846814525,2,110036.4234072625,,,,22.0072846814525,1,228.05476353836787,0.012772590891567074,0.05289428042609438,0.14815463412893795,6.943587967658926,Baja,6.873163834212518,0.2736937024150212,16.502913764737603,-0.734148964405113,0.16454597961651837
18038,Campotéjar,1218,217199.198394545,1,217199.198394545,,,,21.7199198394545,1,178.3244650201519,0.017013359258452203,0.05210812249181343,0.1141639462125989,6.01964406380407,Baja,7.105786129481271,0.3146361219170375,17.263327819209945,-0.8836242419694901,-0.1317533508402855
18183,Válor,658,214974.409397395,5,42994.881879479,,,,21.4974409397395,0,326.70882887142096,0.007626678288271678,0.0514994761765406,0.21558474507399142,8.756321747929515,Baja,6.490723534502507,0.20638273737139112,15.447409787884354,-0.26016693123431284,1.0411074788100751
18004,Albondón,703,213613.192790615,1,213613.192790615,,,,21.3613192790615,1,303.85944920428875,0.008380965151946897,0.05112708154807643,0.1999671808025253,8.295527640557223,Baja,6.556778356158042,0.2180086402764727,15.508972985304714,-0.9277954779844705,-0.10809867632574864
18010,Aldeire,597,211494.47810675,2,105747.239053375,,,,21.149447810675,1,354.2621073814908,0.006604200539734155,0.05054745449710629,0.23441742693623077,9.2525470041632,Baja,6.393590753950631,0.1892869940585773,15.201076343147582,-0.7704243400555066,0.18445355065777577
18915,Domingo Pérez de Granada,822,208363.28509348,3,69454.42836449333,,,,20.836328509348,1,253.48331519888077,0.010375634858110262,0.049690838839452384,0.16553506395564405,7.264954517990725,Baja,6.71295620067707,0.24549654215548755,15.697417644491438,-0.5872619258866708,0.4634593761061426
18133,Molvízar,2689,205222.216039685,1,205222.216039685,,,,20.5222216039685,1,76.31915806607847,0.041670158735479974,0.04883152134549727,0.04444325967346123,4.5366634060881275,Baja,7.897296472595885,0.4539449894120622,20.977984315411426,-0.7748620089300521,-0.18822024772130874
18065,Dehesas Viejas,635,202944.203523435,1,202944.203523435,,,,20.2944203523435,1,319.59717090304724,0.00724115389128212,0.04820831441399181,0.21072392272276036,8.467284874980948,Baja,6.455198563340122,0.2001302056850065,14.960597299958984,-0.9416138500706783,-0.09988294297399196
18162,Polopos,1682,198536.81437464,1,198536.81437464,,,,19.853681437464,1,118.03615598967896,0.024790894919458926,0.04700256359050971,0.07295685197993543,4.812534950602219,Baja,7.428333194190806,0.3714056470273659,18.325236906260862,-0.8609760731039251,-0.14213037863109895
18086,Gorafe,368,196191.159436165,1,196191.159436165,,,,19.6191159436165,1,533.1281506417528,0.0027657185001424764,0.0463608513935179,0.3566724713748433,12.637579751990287,Baja,5.910796644040527,0.1043133720839291,14.711976466501376,-0.968347624486448,-0.08517487999954303
18024,Beas de Granada,1007,189223.652450875,1,189223.652450875,,,,18.9223652450875,1,187.908294390144,0.013476591964330615,0.044454716717974754,0.12071449915246353,5.803921402222814,Baja,6.915723448631314,0.2811843583960625,15.821151899783203,-0.922483783549196,-0.10882257136892924
18007,Albuñuelas,794,167357.00469118002,2,83678.50234559001,,,,16.735700469118,1,210.7770839939295,0.009906300809601233,0.03847255184599972,0.13634533012690384,5.926451001935142,Baja,6.678342114654332,0.2394043297603492,14.331345758196553,-0.7891747777768365,0.19813578252740258
