codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab,municipio_key,area_m2_SUNC,area_m2_Urbanizable,area_m2_desarrollo,sunc_m2_por_hab,urbanizable_m2_por_hab,comarca,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,poblacion_aprox,tipo_dato,fuente,fecha,reserva_suelo_hab,indice_expansion,densidad_residencial
18165,Pulianas,5659,1.0,774214.994427165,77.4214994427165,774214.994427165,774214.994427165,774214.994427165,11103.878002092655,136.8112730919182,PULIANAS,326722.09765627,272068.09765625,598790.19531252,57.73495275777877,48.07706267118749,Área Metropolitana,1320.0,,7500.0,E,Estimación por comarca/tipología,2026-05,105.81201542896625,0.7734159111133719,73.0933918967437
18027,Benalúa,3381,1.0,760520.702073135,76.05207020731349,760520.702073135,760520.702073135,760520.702073135,12115.27916665106,224.9395747036779,BENALUA,,,0.0,,,,,,,,,,0.0,0.0,44.456383511764926
18047,Cenes de la Vega,8254,1.0,727539.52340425,72.753952340425,727539.52340425,727539.52340425,727539.52340425,22931.943571925443,88.14387247446693,CENES DE LA VEGA,112114.0,365000.0,477114.0,13.582990065422823,44.22098376544706,Sierra Nevada,1648.0,,4700.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,57.80397383086988,0.6557911764951585,113.45088114771391
18907,Valle del Zalabí,2128,4.0,724412.3485637349,72.44123485637348,181103.08714093373,50093.6277912975,624157.337543275,15137.52433408827,340.41933673107843,VALLE DEL ZALABI,,,0.0,,,,,,,,,,0.0,0.0,29.37553458633202
18079,Fuente Vaqueros,4743,1.0,697791.062137475,69.7791062137475,697791.062137475,697791.062137475,697791.062137475,24159.85901318227,147.12019020397955,FUENTE VAQUEROS,344578.07861329,392787.0,737365.07861329,72.6498162794202,82.81404174573055,Vega de Granada,863.0,,2700.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,155.46385802515076,1.0567132751093025,67.97163588583713
18105,Iznalloz,5179,2.0,689562.75089145,68.956275089145,344781.375445725,344781.375445725,621235.30667966,21264.060761602774,133.14592602653985,IZNALLOZ,337047.0,199976.0,537023.0,65.07955203707279,38.61285962541031,Poniente Granadino,680.0,,5800.0,E,Estimación por comarca/tipología,2026-05,103.69241166248311,0.7787877162821654,75.10556498744624
18045,Castilléjar,1284,1.0,684700.617528105,68.47006175281051,684700.617528105,684700.617528105,684700.617528105,8779.067149750521,533.2559326542874,CASTILLEJAR,,,0.0,,,,,,,,,,0.0,0.0,18.752721512585687
18140,Motril,59862,9.0,676210.490344715,67.6210490344715,75134.49892719055,20184.56143568,299493.51438305,14295.567440057292,11.296155997873692,MOTRIL,57849.0,0.0,57849.0,0.966372657111356,0.0,Costa Tropical,1491.0,7.8,57000.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.9663726571113561,0.08554880592063878,885.2568964063819
18138,Moraleda de Zafayona,3214,4.0,656131.18305812,65.613118305812,164032.79576453,103883.1601597075,448363.76160728,18973.61353499304,204.14784787122588,MORALEDA DE ZAFAYONA,66243.0,225604.0,291847.0,20.61076540136901,70.19415059116366,Vega de Granada,808.0,,3500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,90.80491599253267,0.44479977104540125,48.984106882713185
18147,Órgiva,5728,1.0,653391.71229874,65.33917122987401,653391.71229874,653391.71229874,653391.71229874,4574.226186843839,114.06978217505936,ORGIVA,,,0.0,,,Alpujarras Occidentales,940.0,,5700.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,87.66563597582143
18135,Montefrío,5283,6.0,644935.961623935,64.4935961623935,107489.3269373225,13531.4453245175,443690.455622055,15376.01117799538,122.07760015595969,MONTEFRIO,,,0.0,,,Poniente Granadino,661.0,,5600.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,81.91510962883072
18146,Orce,1116,6.0,630004.49996642,63.000449996642,105000.74999440332,34961.3483370825,465735.6089709,14161.09195694852,564.520161260233,ORCE,122920.0,0.0,122920.0,110.14336917562724,0.0,Comarca de Baza,470.0,,900.0,E,Estimación por comarca/tipología,2026-05,110.14336917562724,0.19510971748067163,17.71415918552144
18048,Cijuela,3827,1.0,595273.93657457,59.52739365745701,595273.93657457,595273.93657457,595273.93657457,10020.645298112597,155.54584180156,CIJUELA,8329.0,119919.0,128248.0,2.176378364253985,31.33498824144238,Vega de Granada,985.0,,2900.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,33.51136660569637,0.21544366739452292,64.28972889392732
18914,Valderrubio,2069,1.0,594343.28770578,59.434328770578,594343.28770578,594343.28770578,594343.28770578,6009.348174477993,287.26113470554856,VALDERRUBIO,68235.0,0.0,68235.0,32.979700338327696,0.0,Vega de Granada,690.0,,1800.0,E,Estimación por comarca/tipología,2026-05,32.979700338327696,0.11480738726501548,34.81153136239716
18099,Huétor de Santillán,1964,1.0,583788.93253594,58.37889325359399,583788.93253594,583788.93253594,583788.93253594,13656.796305991327,297.24487399996946,HUETOR DE SANTILLAN,,,0.0,,,Área Metropolitana,870.0,,1200.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,33.642295880268165
18006,Albuñol,7388,10.0,575638.38780028,57.563838780028,57563.838780028,20070.4628073,200276.75849116,21446.925385258783,77.91532049272875,ALBUNOL,,,0.0,,,Costa Tropical,941.0,,7800.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,128.3444634092627
18164,Puebla de Don Fadrique,2195,2.0,560606.84290292,56.060684290292,280303.42145146,280303.42145146,468676.136066425,11874.906469807434,255.40175075303875,PUEBLA DE D. FADRIQUE,168829.0,197591.0,366420.0,76.91526195899772,90.01867881548975,Comarca de Baza,480.0,,2000.0,E,Estimación por comarca/tipología,2026-05,166.93394077448747,0.6536131419706069,39.15399941666618
18046,Castril,1927,5.0,547111.8837448651,54.7111883744865,109422.376748973,127375.26591091,198150.109290805,14732.892877737144,283.9189848183005,CASTRIL,136213.859375,0.0,136213.859375,70.6870053840166,0.0,Comarca de Baza,520.0,,1800.0,E,Estimación por comarca/tipología,2026-05,70.6870053840166,0.2489689283344477,35.221315004347794
18194,Zújar,2655,2.0,542368.16137027,54.236816137027,271184.080685135,271184.080685135,509441.100276205,10850.210897938225,204.2817933598004,ZUJAR,,,0.0,,,,,,,,,,0.0,0.0,48.95198850338589
18119,Lecrín,2244,1.0,529627.444430285,52.9627444430285,529627.444430285,529627.444430285,529627.444430285,27854.424608430712,236.0193602630504,LECRIN,,,0.0,,,Sur de Granada,700.0,,2400.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,42.36940558119772
18097,Huéneja,1180,4.0,504039.40004152,50.403940004152,126009.85001038,67273.0289847,312890.26520806,10249.070195838882,427.1520339334915,HUENEJA,,,0.0,,,,,,,,,,0.0,0.0,23.4108682754324
18182,Ugíjar,2574,5.0,500769.79577499,50.076979577499,100153.959154998,48906.403094315,363841.536025405,16697.46940755136,194.54926020784384,UGIJAR,,,0.0,,,Alpujarras Orientales,590.0,,2500.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,51.40086366464024
18082,Galera,1139,7.0,485445.854619945,48.5445854619945,69349.40780284928,28268.866751165,288735.13361815,15053.59798332784,426.20355980679983,GALERA,30794.0,26227.0,57021.0,27.035996488147497,23.02633889376646,Comarca de Baza,490.0,,1400.0,E,Estimación por comarca/tipología,2026-05,50.06233538191396,0.11746109160751136,23.46296686149935
18088,Guadahortuna,1829,1.0,479490.480755405,47.949048075540496,479490.480755405,479490.480755405,479490.480755405,7998.005439570624,262.1599129335183,GUADAHORTUNA,141942.0,0.0,141942.0,77.60634226353199,0.0,Poniente Granadino,580.0,,2200.0,E,Estimación por comarca/tipología,2026-05,77.60634226353199,0.29602673191004736,38.144657160211686
18171,Salar,2582,2.0,469554.56567238,46.955456567238,234777.28283619,234777.28283619,468924.098251865,10512.236002727046,181.85691931540669,SALAR,105814.0,34818.0,140632.0,40.98140975987607,13.484895429899304,Vega de Granada,600.0,,1500.0,E,Estimación por comarca/tipología,2026-05,54.46630518977537,0.2995008680165246,54.98828440317043
18061,Chimeneas,1265,2.0,402728.7183331,40.272871833310006,201364.35916655,201364.35916655,277403.16100397,12621.71820814882,318.3626231882214,CHIMENEAS,96078.0,0.0,96078.0,75.95098814229249,0.0,,,,,,,,75.95098814229249,0.23856754094336313,31.410722464388762
18188,Villanueva Mesía,1965,2.0,400773.508574315,40.0773508574315,200386.7542871575,200386.7542871575,325609.422800295,6400.288028424639,203.955984007285,VILLANUEVA MESIA,,,0.0,,,,,,,,,,0.0,0.0,49.03018682522605
18054,Cortes y Graena,949,5.0,398208.557558975,39.8208557558975,79641.711511795,56179.6876229,182012.261510835,10448.778095959122,419.6085959525553,CORTES Y GRAENA,0.0,75700.0,75700.0,0.0,79.768177028451,,,,,,,,79.768177028451,0.19010138924196468,23.83173294460033
18085,Gor,766,8.0,389091.148426845,38.9091148426845,48636.39355335563,33608.720673395,188216.7600259,13308.293056621438,507.9518908966645,GOR,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,19.686903778126414
18116,Lanjarón,3708,1.0,380802.31214644,38.080231214644,380802.31214644,380802.31214644,380802.31214644,18047.426344080777,102.69749518512404,LANJARON,,,0.0,,,Alpujarras Occidentales,1152.0,3.0,3700.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,97.37335834699618
18136,Montejícar,1989,1.0,380215.725686385,38.0215725686385,380215.725686385,380215.725686385,380215.725686385,4404.288557133508,191.1592386557994,MONTEJICAR,,,0.0,,,Poniente Granadino,540.0,,1200.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,52.312407552563876
18152,Pedro Martínez,1166,1.0,370307.81751789,37.030781751789,370307.81751789,370307.81751789,370307.81751789,4690.461466102332,317.58817968944254,PEDRO MARTINEZ,,,0.0,,,,,,,,,,0.0,0.0,31.48731797820253
18126,"Malahá, La",1928,1.0,369787.50396414,36.978750396414,369787.50396414,369787.50396414,369787.50396414,7699.10960011567,191.7984979067116,LA MALAHA,,,0.0,,,,,,,,,,0.0,0.0,52.13805170082132
18114,"Calahorra, La",680,1.0,368001.905389055,36.800190538905504,368001.905389055,368001.905389055,368001.905389055,5619.362672522074,541.1792726309633,LA CALAHORRA,,,0.0,,,Comarca de Guadix,1100.0,,500.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,18.478165195397498
18095,Güevéjar,2723,3.0,360411.9997681,36.041199976810006,120137.33325603337,15417.653638805,335364.03129512,6176.216056621057,132.35842811902316,GUEVEJAR,,,0.0,,,Área Metropolitana,790.0,,1600.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,75.55242338634841
18094,Güéjar Sierra,2915,1.0,353989.19084915,35.398919084915,353989.19084915,353989.19084915,353989.19084915,8159.008215894484,121.43711521411664,GUEJAR SIERRA,,,0.0,,,Sierra Nevada,1235.0,,2700.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,82.34714718286996
18012,Algarinejo,2335,3.0,338713.850296275,33.8713850296275,112904.616765425,66131.069456485,223082.12521285,11058.49451205445,145.0594647949786,ALGARINEJO,81825.0,0.0,81825.0,35.04282655246253,0.0,,,,,,,,35.04282655246253,0.24157559523599992,68.93724593657927
18167,Purullena,2409,2.0,328135.94728009496,32.8135947280095,164067.97364004748,164067.97364004748,173069.859123515,12237.143041961972,136.21251443756535,PURULLENA,276457.85986328,0.0,276457.85986328,114.7604233554504,0.0,Comarca de Guadix,680.0,,1800.0,E,Estimación por comarca/tipología,2026-05,114.7604233554504,0.8425101308004429,73.41469351249381
18157,Pinos Genil,1642,2.0,311292.158194865,31.129215819486497,155646.0790974325,155646.0790974325,210495.863056425,11981.568587710904,189.5810951247655,PINOS GENIL,233929.05004883,2868740.0,3102669.05004883,142.46592573010352,1747.1010962241169,Área Metropolitana,850.0,,700.0,E,Estimación por comarca/tipología,2026-05,1889.5670219542205,9.967064599509115,52.747875485258085
