codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,municipio_merge,precio_venta_eur_m2,comarca,precio_imputado,score_precio,distancia_capital_km,distancia_costa_km,score_capital_norm,score_litoral,suelo_por_habitante,log_poblacion,score_superficie,score_log_poblacion,score_suelo_hab,coopscore_v6,IVU,IVEC,perfil_municipio
18094,Güéjar Sierra,2915,353989.19084915,1,353989.19084915,guejar sierra,1235.0,Sierra Nevada,False,0.26953748006379585,24.26,14.3,0.8763424172822646,0,121.43711521411664,7.977968093128549,0.08953042410349318,0.46814350519035397,0.07528140958482717,30.382513194274548,24.261811838364768,29.507239410165997,Equilibrado
18012,Algarinejo,2335,338713.850296275,3,112904.616765425,algarinejo,1142.0,,False,0.2324561403508772,74.64,46.4,0.5635979887019679,0,145.0594647949786,7.756195343948118,0.08535147510924922,0.42911064756778416,0.09142729924120291,25.718707874882263,18.282352506737904,26.462671516746454,Equilibrado
18167,Purullena,2409,328135.94728009496,2,164067.97364004748,purullena,1142.0,,False,0.2324561403508772,47.22,27.6,0.7338133962381277,0,136.21251443756537,7.787382026484701,0.08245762688258196,0.43459962375475625,0.08538040353435275,27.451222471786025,21.36056137492223,26.68223056422534,Equilibrado
18157,Pinos Genil,1642,311292.158194865,2,155646.0790974325,pinos genil,1142.0,,False,0.2324561403508772,16.5,81.7,0.9245142466943944,0,189.5810951247655,7.404279118037268,0.07784958981700366,0.36717203702247025,0.1218578594259981,27.2017587023399,26.038500207518016,23.9851270949339,Equilibrado
18187,Villanueva de las Torres,491,294168.155933855,1,294168.155933855,villanueva de las torres,1142.0,,False,0.2324561403508772,88.89,138.0,0.4751381215469612,0,599.1204805170163,6.198478716492308,0.07316489347400719,0.15494652433583345,0.40177826716733256,17.915344212241745,25.214355119659558,15.496106587468429,Equilibrado
18035,Cádiar,1491,289873.67392418004,4,72468.41848104501,cadiar,1142.0,,False,0.2324561403508772,95.07,77.2,0.43677447389657953,0,194.41560960709594,7.307872780763706,0.0719900312041279,0.3502041505232554,0.12516225288214683,21.558444330000064,16.08985862460239,23.306411634965304,Equilibrado
18178,Torre-Cardela,700,284947.11599401,1,284947.11599401,torre-cardela,1142.0,,False,0.2324561403508772,56.02,67.5,0.6791855484511764,0,407.06730856287146,6.55250788703459,0.07064224885936742,0.21725702127056112,0.27050981260848544,20.735708766898505,25.23111779024646,17.988526464857536,Equilibrado
18020,Arenas del Rey,608,281374.328932895,2,140687.1644664475,arenas del rey,1142.0,,False,0.2324561403508772,52.13,25.7,0.7033335402569991,0,462.78672521857726,6.411818267709897,0.06966482417649288,0.19249510665134673,0.30859406624977054,20.457154345796468,26.80773400145774,16.99804988008896,Equilibrado
18018,Alquife,543,278416.790713775,2,139208.3953568875,alquife,1142.0,,False,0.2324561403508772,77.21,62.6,0.5476441740641877,0,512.7381044452578,6.298949246855942,0.06885571610302976,0.1726297244649766,0.34273586295873004,18.518071491863786,24.677745175197142,16.203434592634153,Equilibrado
18189,Víznar,1006,270579.48029726,1,270579.48029726,viznar,1142.0,,False,0.2324561403508772,9.12,84.9,0.9703271463157241,0,268.9656861801789,6.914730892718563,0.06671162508461323,0.28100966473433875,0.17611727351220893,24.796970043697037,28.025642385911414,20.538632203408643,Equilibrado
18028,Benalúa de las Villas,1028,264554.90193260496,3,88184.96731086832,benalua de las villas,1142.0,,False,0.2324561403508772,51.18,49.9,0.7092308647339997,0,257.3491263935846,6.9363427358340495,0.06506345196463781,0.28481343232258194,0.1681773481521593,22.182053780668664,22.483110337476663,20.690782906938367,Equilibrado
18143,Nigüelas,1229,263121.14902596,1,263121.14902596,niguelas,1142.0,,False,0.2324561403508772,33.93,62.6,0.8163138618163759,0,214.09369326766478,7.114769448366463,0.06467121322884802,0.3162172206242486,0.1386122344915072,24.042636849691597,23.718204932515135,21.946934439005034,Equilibrado
18049,Cogollos de Guadix,614,260025.344087825,1,260025.344087825,cogollos de guadix,1142.0,,False,0.2324561403508772,64.54,97.7,0.6262958594574461,0,423.49404574564335,6.421622267806518,0.06382427885852658,0.19422064841117637,0.2817374970121654,19.274186720890107,24.169256042440214,17.067071550482144,Equilibrado
18051,Colomera,1278,253266.364389555,1,253266.364389555,colomera,1142.0,,False,0.2324561403508772,29.83,39.2,0.8417654727171147,0,198.17399404503522,7.153833801578843,0.06197519200416609,0.3230926971771231,0.12773111082802915,24.334622658550945,23.766002379391473,22.221953501120012,Equilibrado
18107,Jayena,979,252049.10813568,1,252049.10813568,jayena,1142.0,,False,0.2324561403508772,45.31,56.6,0.7456701222918865,0,257.45567736024515,6.887552571664617,0.06164218130759536,0.2762261755994493,0.16825017579974755,22.126876174417287,23.043016785209925,20.34729263801306,Equilibrado
18034,Cacín,549,251633.08721880495,2,125816.54360940248,cacin,1142.0,,False,0.2324561403508772,43.54,8.5,0.7566577689490347,0,458.3480641508287,6.309918278226516,0.06152836844783347,0.1745603162140863,0.3055602388323666,20.04756474273559,27.376380966343365,16.28065826259854,Equilibrado
18902,"Valle, El",941,248523.96962834,1,248523.96962834,el valle,1142.0,,False,0.2324561403508772,41.42,74.7,0.7698181140977094,0,264.10623764967056,6.848005274576363,0.06067779207065318,0.2692656990652138,0.17279583761965103,22.136442408683337,23.61412701407638,20.068873576643643,Equilibrado
18072,Escúzar,826,245145.64353299,1,245145.64353299,escuzar,1142.0,,False,0.2324561403508772,27.62,61.7,0.8554845117636104,0,296.78649338134386,6.717804695023691,0.05975356701723963,0.24634989582592226,0.19513281139016977,22.382075132802854,25.951352927839284,19.15224144707198,Equilibrado
18903,Nevada,1086,242871.147840105,4,60717.78696002625,nevada,1142.0,,False,0.2324561403508772,97.69,67.0,0.42051027376000993,0,223.63825767965469,6.99117688712121,0.05913132220015729,0.2944644540461969,0.14513594980977557,19.194595106074637,15.72085007950133,21.076823775882968,Equilibrado
18137,Montillana,1054,242424.172246695,2,121212.0861233475,montillana,1142.0,,False,0.2324561403508772,52.65,104.0,0.7001055310695885,0,230.00395848832542,6.961296045910167,0.059009040919418144,0.28920531095966595,0.149486910009161,21.845707428309822,21.437169967637505,20.866458052421727,Equilibrado
18154,"Peza, La",1104,239774.9402367,2,119887.47011835,la peza,1142.0,,False,0.2324561403508772,48.81,40.8,0.7239431373766217,0,217.1874458665761,7.007600613951853,0.05828427767074517,0.2973550931954232,0.14072681618945213,22.25635821773102,21.61488111675326,21.192449341852015,Equilibrado
18069,Dólar,600,231185.95518309,1,231185.95518309,dolar,1142.0,,False,0.2324561403508772,76.43,45.7,0.5524861878453038,0,385.30992530515,6.398594934535208,0.05593454737654204,0.190167749106243,0.25563862851699043,17.857109242274806,21.515609981242893,16.90495557828481,Equilibrado
18064,Dehesas de Guadix,382,230921.627257985,2,115460.8136289925,dehesas de guadix,1142.0,,False,0.2324561403508772,95.87,102.7,0.43180830591594754,0,604.5068776387042,5.948034989180646,0.05586223390418806,0.11086746418643445,0.4054598727279687,15.370501921365337,23.593073995367416,13.732944181492467,Equilibrado
18076,Fonelas,965,220072.846814525,2,110036.4234072625,fonelas,1142.0,,False,0.2324561403508772,57.0,72.2,0.6731019926749022,0,228.05476353836787,6.873163834212518,0.05289428042609438,0.2736937024150212,0.14815463412893795,20.80542636923183,20.5513928986709,20.24599371063594,Equilibrado
18038,Campotéjar,1218,217199.198394545,1,217199.198394545,campotejar,1142.0,,False,0.2324561403508772,45.29,43.9,0.7457942764914023,0,178.3244650201519,7.105786129481271,0.05210812249181343,0.3146361219170375,0.1141639462125989,22.597911483104184,20.946210040796682,21.88369049071659,Equilibrado
